 Roll Number, Gender,Location,What_are_the_usual_causes_of_stress_in_your_daily_online_class ,What_are_the_usual_behavioral_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_PSYCHOLOGICAL_or_EMOTIONAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_PHYSICAL_effects_of_stress_you_have_noticed_at_yourself ,What_are_the_usual_COGNITIVE_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_the_usual_SOCIAL_Â_effects_of_stress_you_have_noticed_at_yourself,What_are_your_personal_methods_to_relieve_stress,How_stressed_do_you_feel_on_a_daily_basis_during_the_academic_year,Found_that_you_could_not_cope_with_all_the_things_you_had_to_do,When_do_you_feel_mostly_stressed,How_effective_has_remote_learning_been_for_you                  ,How_well_could_you_manage_time_while_learning_remotely,Do_you_enjoy_learning_remotely
180330137,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Very Often,Online class during evening time,Not at all effective,Very Bad,Never
2010030250,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Very Often,Assignment submision deadline,Moderately effective,Good,"Yes, absolutely"
190330282,Male,Rural,Health Issue,Difficulty communicating,"Sadness, moodiness, grief or depression",Eye problem due to online class,Confusion,No social effect,Sports / Exercise,Less Stressed,Sometimes,Online class during day time,Slightly effective,Good,"Yes, but I would like to change a few things"
2010040070,Male,Rural,Environmental Background Noise,Difficulty communicating,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty sharing ideas,Sleeping,Average Stressed,Sometimes,Online class during day time,Very effective,Very Bad,Never
2010040043,Female,Urban,Feeling no stress,Change in sleep patterns,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sleeping,highly stressed,Very Often,Online class during day time,Slightly effective,Very Bad,"Yes, but I would like to change a few things"
2010030412,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,Anxlety or fear,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Fairly Often,Online class during day time,Not at all effective,Very Bad,Never
2010040058,Male,Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
190330177,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
190330009,Male,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Moderately effective,Bad,"No, there are quite a few challenges"
190330177,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sports / Exercise,Average Stressed,Fairly Often,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
2010030480,Female,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Sleeping,highly stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"No, there are quite a few challenges"
2010030087,Male,Urban,Family Issue,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Sports / Exercise,highly stressed,Fairly Often,Assignment submision deadline,Not at all effective,Bad,Never
2010030364,Male,Rural,Health Issue,Difficulty communicating,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Sports / Exercise,Average Stressed,Never,Online class during day time,Slightly effective,Average,"No, there are quite a few challenges"
2010030137,Male,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Talking with someone,Less Stressed,Sometimes,Assignment submision deadline,Extremely effective,Very good,"Yes, but I would like to change a few things"
190330129,Male,Urban,Family Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Sometimes,Online Examination time,Not at all effective,Very Bad,"No, there are quite a few challenges"
190330271,Male,Rural,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Never,Online class during day time,Extremely effective,Good,"Yes, but I would like to change a few things"
180330200,Female,Urban,Health Issue,Change in sleep patterns,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
180330024,Female,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330087,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Not Stressed at All,Never,Never feel stressed,Not at all effective,Good,"Yes, absolutely"
180330292,Male,Urban,Feeling no stress,Difficulty communicating,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Less Stressed,Sometimes,Online class during evening time,Very effective,Good,"Yes, absolutely"
180030632,Male,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sports / Exercise,highly stressed,Sometimes,Assignment submision deadline,Not at all effective,Very Bad,Never
180330008,Female,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
180330229,Male,Urban,Health Issue,"Inability to rest, relax or let down",Anxlety or fear,Eye problem due to online class,No cognitive effect,No social effect,Sleeping,Less Stressed,Sometimes,Online class during evening time,Slightly effective,Good,"Yes, but I would like to change a few things"
180330056,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,highly stressed,Sometimes,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
180330175,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Never,Never feel stressed,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030470,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Talking with someone,highly stressed,Very Often,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
190330152,Male,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,No cognitive effect,Withdrawing or isolating from people,Eating,Not Stressed at All,Sometimes,Assignment submision deadline,Slightly effective,Very good,"No, there are quite a few challenges"
190330064,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Almost Never,Assignment submision deadline,Extremely effective,Very good,"Yes, absolutely"
190330074,Male,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Not Stressed at All,Almost Never,Never feel stressed,Extremely effective,Very good,"Yes, absolutely"
180330145,Male,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,highly stressed,Fairly Often,Never feel stressed,Slightly effective,Good,"Yes, absolutely"
2010030508,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Tremors or muscle twitching,No cognitive effect,No social effect,Sports / Exercise,Not Stressed at All,Never,Never feel stressed,Moderately effective,Very good,"Yes, but I would like to change a few things"
190330048,Male,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends","Digestion Problem, Upset stomach, nausea, diarrhea",Difficulty Concentrating,Withdrawing or isolating from people,Sleeping,highly stressed,Fairly Often,Online class during day time,Not at all effective,Bad,Never
190330166,Female,Rural,Health Issue,Change in activity levels,"Feeling overwhelmed, helpless or hopeless",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Social Media,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,Never
190330027,Male,Rural,Family Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030122,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Computer Games,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030359,Male,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030480,Female,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,No psychological and emotional effect,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Withdrawing or isolating from people,Sleeping,highly stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"No, there are quite a few challenges"
2010030087,Male,Urban,Family Issue,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Sports / Exercise,highly stressed,Fairly Often,Assignment submision deadline,Not at all effective,Bad,Never
2010030364,Male,Rural,Health Issue,Difficulty communicating,No psychological and emotional effect,Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Sports / Exercise,Average Stressed,Never,Online class during day time,Slightly effective,Average,"No, there are quite a few challenges"
2010030137,Male,Urban,Feeling no stress,Change in sleep patterns,No psychological and emotional effect,No physical effect,No cognitive effect,Difficulty engaging in mutual problem solving,Talking with someone,Less Stressed,Sometimes,Assignment submision deadline,Extremely effective,Very good,"Yes, but I would like to change a few things"
190330129,Male,Urban,Family Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sports / Exercise,highly stressed,Sometimes,Online Examination time,Not at all effective,Very Bad,"No, there are quite a few challenges"
190330271,Male,Rural,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Never,Online class during day time,Extremely effective,Good,"Yes, but I would like to change a few things"
190330098,Male,Rural,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty sharing ideas,Sleeping,highly stressed,Never,Online class during evening time,Slightly effective,Very Bad,"No, there are quite a few challenges"
190330042,Male,Urban,Environmental Background Noise,Difficulty communicating,"Sadness, moodiness, grief or depression",Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030097,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Very Often,Assignment submision deadline,Not at all effective,Good,"Yes, absolutely"
2010030025,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Almost Never,Never feel stressed,Not at all effective,Good,"Yes, absolutely"
2010030048,Female,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,No physical effect,Confusion,Difficulty engaging in mutual problem solving,Eating,Not Stressed at All,Sometimes,Assignment submision deadline,Very effective,Good,"Yes, absolutely"
2010030134,Female,Rural,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sleeping,highly stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"Yes, absolutely"
2010080056,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Tremors or muscle twitching,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Very Often,Assignment submision deadline,Slightly effective,Bad,"No, there are quite a few challenges"
190330102,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Very Often,Online class during evening time,Very effective,Bad,Never
180330161,Male,Urban,Family Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Talking with someone,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030191,Male,Urban,Health Issue,Change in activity levels,"Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Sometimes,Online class during day time,Slightly effective,Average,"Yes, but I would like to change a few things"
2010030493,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,Difficulty Concentrating,Withdrawing or isolating from people,Computer Games,Average Stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010040105,Female,Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty sharing ideas,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Very effective,Average,"No, there are quite a few challenges"
2010080040,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,Confusion,Withdrawing or isolating from people,Sleeping,Average Stressed,Sometimes,Never feel stressed,Slightly effective,,"Yes, but I would like to change a few things"
190330018,Female,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Very Often,Online class during day time,Moderately effective,Good,"Yes, but I would like to change a few things"
2010030235,Male,Rural,Environmental Background Noise,Difficulty communicating,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
190330247,Female,Urban,Family Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,Average Stressed,Very Often,Online class during day time,Not at all effective,Average,Never
190330255,Male,Rural,Health Issue,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,No social effect,Sports / Exercise,Not Stressed at All,Sometimes,Never feel stressed,Slightly effective,Average,"No, there are quite a few challenges"
180330137,Male,Urban,Family Issue,Decreased efficiency and effectiveness,"Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Talking with someone,highly stressed,Very Often,Online Examination time,Not at all effective,Very Bad,Never
2010040033,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Talking with someone,highly stressed,Sometimes,Assignment submision deadline,Slightly effective,Good,"Yes, but I would like to change a few things"
180330061,Male,Urban,Health Issue,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sleeping,Average Stressed,Fairly Often,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030452,Male,Urban,Environmental Background Noise,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Bad,"Yes, but I would like to change a few things"
2010030530,Female,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Assignment submision deadline,Moderately effective,Average,"Yes, but I would like to change a few things"
180330013,Female,Urban,Feeling no stress,"Inability to rest, relax or let down",No psychological and emotional effect,No physical effect,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sleeping,Average Stressed,Never,Online class during evening time,Very effective,Good,"Yes, absolutely"
2010030006,Female,Urban,Environmental Background Noise,"Inability to rest, relax or let down",No psychological and emotional effect,Eye problem due to online class,"Slowness in thinking, analyzing, or comprehending",Difficulty listening,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Slightly effective,Bad,"Yes, but I would like to change a few things"
2010030413,Male,Urban,Environmental Background Noise,Change in sleep patterns,No psychological and emotional effect,Eye problem due to online class,No cognitive effect,Difficulty sharing ideas,,Average Stressed,Sometimes,Never feel stressed,Moderately effective,Average,"Yes, absolutely"
190330053,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,Headaches,Confusion,Withdrawing or isolating from people,Sleeping,Average Stressed,Sometimes,Assignment submision deadline,Extremely effective,Very good,"Yes, absolutely"
190330105,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Not Stressed at All,Never,Online class during evening time,Extremely effective,Good,"Yes, absolutely"
180330286,Male,Urban,Family Issue,Change in sleep patterns,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Difficulty Concentrating,Difficulty listening,Social Media,Average Stressed,Never,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
190330108,Female,Urban,Health Issue,"Inability to rest, relax or let down",No psychological and emotional effect,Headaches,No cognitive effect,No social effect,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, absolutely"
190330121,Male,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Computer Games,Average Stressed,Never,Never feel stressed,Not at all effective,Good,"Yes, absolutely"
190330118,Male,Urban,Health Issue,Change in activity levels,No psychological and emotional effect,Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty listening,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
190330247,Female,Urban,Family Issue,Decreased efficiency and effectiveness,"Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Withdrawing or isolating from people,Sleeping,Average Stressed,Very Often,Online class during day time,Not at all effective,Average,Never
2010030053,Male,Urban,Health Issue,Change in activity levels,"Feeling isolated, lost, lonely or abandoned, missing friends",Headaches,Confusion,Difficulty listening,Talking with someone,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, absolutely"
180330142,Male,Rural,Environmental Background Noise,Decreased efficiency and effectiveness,Anxlety or fear,Headaches,"Slowness in thinking, analyzing, or comprehending",No social effect,,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Good,"Yes, absolutely"
2010030074,Male,Rural,Environmental Background Noise,Difficulty communicating,"Feeling overwhelmed, helpless or hopeless",Headaches,Difficulty Concentrating,Difficulty listening,Social Media,highly stressed,Sometimes,Assignment submision deadline,Moderately effective,Good,Never
2010030326,Male,Urban,Feeling no stress,Decreased efficiency and effectiveness,No psychological and emotional effect,No physical effect,Difficulty Concentrating,No social effect,Talking with someone,Average Stressed,Sometimes,Assignment submision deadline,Slightly effective,Average,"Yes, but I would like to change a few things"
180330064,Male,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Less Stressed,Sometimes,Never feel stressed,Extremely effective,Good,"Yes, absolutely"
180330062,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling isolated, lost, lonely or abandoned, missing friends",Eye problem due to online class,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Very Often,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
2010030550,Female,Rural,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sports / Exercise,Average Stressed,Sometimes,Online class during evening time,Not at all effective,Very good,"Yes, absolutely"
2010030030,Male,Rural,Feeling no stress,Difficulty communicating,"Sadness, moodiness, grief or depression",Eye problem due to online class,Difficulty Concentrating,Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Sometimes,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030034,Male,Urban,Feeling no stress,"Inability to rest, relax or let down","Sadness, moodiness, grief or depression",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",No social effect,Sleeping,highly stressed,Fairly Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
2010030235,Male,Rural,Environmental Background Noise,Difficulty communicating,"Feeling overwhelmed, helpless or hopeless",Eye problem due to online class,Difficulty Concentrating,Difficulty listening,Sports / Exercise,highly stressed,Sometimes,Online class during evening time,Slightly effective,Bad,"No, there are quite a few challenges"
2010080051,Female,Urban,Feeling no stress,No changes in behaviour,No psychological and emotional effect,No physical effect,No cognitive effect,No social effect,Sleeping,Less Stressed,Sometimes,Online class during evening time,Moderately effective,Good,"Yes, but I would like to change a few things"
190330171,Female,Urban,Health Issue,"Inability to rest, relax or let down","Feeling overwhelmed, helpless or hopeless",Headaches,Confusion,Difficulty engaging in mutual problem solving,Sleeping,highly stressed,Very Often,Online class during evening time,Moderately effective,Average,"Yes, but I would like to change a few things"
180330151,Male,Urban,Health Issue,Decreased efficiency and effectiveness,"Feeling overwhelmed, helpless or hopeless",Headaches,"Difficulty calculating, setting priorities or making decisions due to huge workload",Difficulty engaging in mutual problem solving,Sleeping,Average Stressed,Sometimes,Online class during evening time,Slightly effective,Average,"No, there are quite a few challenges"
